Temperature             Resistance
(Kelvin)                (Ohms)

3.59937905363615E+00   3.24044835664815E+04
3.80188502105680E+00   2.90082969842643E+04
4.00361980773766E+00   2.62131798653048E+04
4.21985870291902E+00   2.37060495390666E+04
4.60409711361891E+00   2.02200577049247E+04
5.04352355385219E+00   1.72401997080508E+04
5.55210244838640E+00   1.46883372712677E+04
6.26762739633328E+00   1.21287466701869E+04
7.08498127295831E+00   1.00989248551875E+04
8.11597218153660E+00   8.33381511085419E+03
9.14823169382239E+00   7.09256620971003E+03
1.01756850632980E+01   6.17845827561887E+03
1.12027800136693E+01   5.47563653762853E+03
1.22198895303645E+01   4.92093447732018E+03
1.32211982592085E+01   4.47832987140149E+03
1.42157995281350E+01   4.11063429678189E+03
1.52031845182363E+01   3.80135166557518E+03
1.61858719508991E+01   3.53671335025629E+03
1.71584351875177E+01   3.30819710697596E+03
1.81306353957905E+01   3.10761598884269E+03
1.91032628776329E+01   2.92953675775431E+03
2.00754574786504E+01   2.77065404252123E+03
2.11437127958375E+01   2.61475703994020E+03
2.27238206507054E+01   2.41313271088636E+03
2.43445037227081E+01   2.23556013226261E+03
2.59679220761358E+01   2.08186162029923E+03
2.75849518570672E+01   1.94745710239227E+03
2.92010111991239E+01   1.82919212168791E+03
3.10114812827577E+01   1.71197959049851E+03
3.31224467061023E+01   1.59266661471942E+03
3.61191189967832E+01   1.44836343365315E+03
3.91208550952438E+01   1.32729140439255E+03
4.21133501668928E+01   1.22443981776789E+03
4.51166127200967E+01   1.13572875860200E+03
4.81065223708747E+01   1.05899173885752E+03
5.01039910096374E+01   1.01310431813710E+03
5.50957334319430E+01   9.13609391201240E+02
6.00964882795939E+01   8.31376402502344E+02
6.50948339131302E+01   7.62330848806642E+02
7.00884999664415E+01   7.03633363431679E+02
7.50806377232836E+01   6.53090907563939E+02
8.00706439584728E+01   6.09149440291960E+02
8.50698302518820E+01   5.70565549856851E+02
9.00603805677897E+01   5.36393781510747E+02
9.50523656716773E+01   5.05946849778646E+02
1.00051860302495E+02   4.78589125723547E+02
1.10050932562679E+02   4.31587413551517E+02
1.20047866353509E+02   3.92677522630303E+02
1.30035480082508E+02   3.59959488022270E+02
1.40047040553812E+02   3.31983756314411E+02
1.50046002691085E+02   3.07899985458685E+02
1.60051818137401E+02   2.86904376460874E+02
1.70049849350567E+02   2.68507802367386E+02
1.80052437470205E+02   2.52243205187807E+02
1.90053785786862E+02   2.37773731220541E+02
2.00053938729241E+02   2.24846270493786E+02
2.10063522184296E+02   2.13215214791525E+02
2.20071106084269E+02   2.02714009788891E+02
2.30072943374044E+02   1.93203464912828E+02
2.40070417038418E+02   1.84555285278405E+02
2.50073763616231E+02   1.76661569161246E+02
2.60085592742354E+02   1.69409512630420E+02
2.70086519079470E+02   1.62779615079401E+02
2.80083131663485E+02   1.56649674595733E+02
2.90110744812165E+02   1.50979848400102E+02
3.00126214511714E+02   1.45735134560322E+02
3.10128479076894E+02   1.40881623987979E+02
3.15137764583884E+02   1.38575768059748E+02
3.20163839807935E+02   1.36348413727917E+02
3.26178068053614E+02   1.33781625080428E+02
3.30177797032196E+02   1.32133407736133E+02
